filelink	include	beginn	ende	dauer_norm	dauer_cat	dauer_bemerkung	gehalt_norm	gehalt_text	umfang_text	umfang_prozent	umfang_sws	sws_äqv	jahr	datum	domain	domain_lit	domain_ling	domain_mkw	domain_fdid	domain_spr	domain_other	domain_count	lang	lang_frz	lang_spa	lang_ita	lang_por	lang_rom	lang_okz	lang_kat	lang_eng	lang_other	lang_diverse	lang_count	lang_string	title	pos_lektorat	pos_lfba	pos_rat	pos_projekt	pos_wma	pos_diss	pos_postdoc	pos_fellow	pos_whk	pos_other	pos_string	pos_no	stadt	land
https://romanistik.de/aktuelles/874.html	0	2015-09-01	2020-08-31	60	~60			N/A	Vollzeit (4 SWS)	N/A	4	#VALUE!	2015	16. April 2015	Literaturwissenschaft, Medien-/Kulturwissenschaft, Sprachpraxis, Weitere Teilbereiche	1	0	1	0	1	1	4	Französisch, Sprachübergreifend	1	0	0	0	0	0	0	0	0	1	2	mult	Leitung des deutsch-französischen Kulturinstituts Nantes (Fachlektorat)	1	0	0	0	0	0	0				Lektorat	1	Nantes	FR
https://romanistik.de/aktuelles/1441	1	2016-04-01	2018-03-31	24	~24		E13	Entgeltgruppe 13 TV-L	50%	50	9	18	2015	16. Dezember 2015	Medien-/Kulturwissenschaft, Sprachpraxis	0	0	1	0	1	0	2	Französisch	1	0	0	0	0	0	0	0	0	0	1	frz	Lektorin/Lektor für Wirtschaftsfranzösisch	1	0	0	0	0	0	0				Lektorat	1	Augsburg	DE
https://romanistik.de/aktuelles/663	1	2015-04-15	2017-04-14	25	~24		E13	bis zu TV-L 13	23,7 Std./Woche (60%)	60	6	10	2015	16. Januar 2015	Sprachpraxis	0	0	0	0	1	0	1	Französisch	1	0	0	0	0	0	0	0	0	0	1	frz	Fremdsprachenlektor/in für Französisch	1	0	0	0	0	0	0				Lektorat	1	Freiburg	DE
https://romanistik.de/aktuelles/1446	1	2016-04-01	N/A	24	~24		E13	TV-L E 13,  50%	Teilzeit (50%), 8 SWS	50	8	16	2015	17. Dezember 2015	Sprachpraxis	0	0	0	0	1	0	1	Italienisch	0	0	1	0	0	0	0	0	0	0	1	ita	Lektorin/Lektor für Italienisch (bis TV-L E 13,  50%)	1	0	0	0	0	0	0				Lektorat	1	Tübingen	DE
https://romanistik.de/aktuelles/1046	1	N/A	N/A	120	unb.	unbefristet	E13	E 13 / 50 %	N/A	50	8	16	2015	18. Juni 2015	Literaturwissenschaft, Sprachpraxis	1	0	0	0	1	0	2	Portugiesisch	0	0	0	1	0	0	0	0	0	0	1	por	Lektorin/Lektor für Portugiesisch mit Schwerpunkt Brasilien	1	0	0	0	0	0	0				Lektorat	1	Tübingen	DE
https://romanistik.de/aktuelles/799	1	2015-10-01	2016-09-30	12	~12		E13	E 13 TV-L	Vollzeit (18 SWS)	100	18	18	2015	19. März 2015	Sprachpraxis	0	0	0	0	1	0	1	Französisch	1	0	0	0	0	0	0	0	0	0	1	frz	Lektorat Französisch	1	0	0	0	0	0	0				Lektorat	1	LMU München	DE
https://romanistik.de/aktuelles/805.html	0	2015-08-01	N/A	N/A	other			N/A	50% (7 SWS)	50	7	14	2015	19. März 2015	Sprachpraxis, Weitere Teilbereiche	0	0	0	0	1	1	2	Französisch	1	0	0	0	0	0	0	0	0	0	1	frz	Lektoratsstellen Französisch (50 %)	1	0	0	0	0	0	0				Lektorat	1	Zürich	CH
https://romanistik.de/aktuelles/1067	1	2015-10-01	N/A	120	unb.	unbefristet	E13	TV-L E 13, 50%	50% / 8 SWS	50	8	16	2015	23. Juni 2015	Medien-/Kulturwissenschaft, Sprachpraxis	0	0	1	0	1	0	2	Portugiesisch	0	0	0	1	0	0	0	0	0	0	1	por	Lektorin/Lektor für Portugiesisch mit Schwerpunkt Brasilien	1	0	0	0	0	0	0				Lektorat	1	Tübingen	DE
https://romanistik.de/aktuelles/1068	1	2015-12-01	N/A	120	unb.	unbefristet	E13	13 TV-L	100% / 16SWS	100	16	16	2015	24. Juni 2015	Medien-/Kulturwissenschaft, Sprachpraxis	0	0	1	0	1	0	2	Französisch	1	0	0	0	0	0	0	0	0	0	1	frz	Lektorat Französisch	1	0	0	0	0	0	0				Lektorat	1	Düsseldorf	DE
https://romanistik.de/aktuelles/822.html	0	N/A	N/A	N/A	other			N/A	N/A	N/A	N/A	N/A	2015	26. März 2015	Weitere Teilbereiche	0	0	0	0	0	1	1	Portugiesisch, Spanisch, Sprachübergreifend	0	1	0	1	0	0	0	0	0	1	3	mult	Lektorinnen und Lektoren für Hochschulen im Ausland	1	0	0	0	0	0	0				Lektorat	1	N/A	OTHER
https://romanistik.de/aktuelles/1393	1	2016-04-01	2018-03-31	24	~24		E13	TV-L 13, 50%	8SWS / 50%	50	8	16	2015	26. November 2015	Medien-/Kulturwissenschaft, Sprachpraxis	0	0	1	0	1	0	2	Französisch	1	0	0	0	0	0	0	0	0	0	1	frz	Lektorin/Lektor für Französisch (50%)	1	0	0	0	0	0	0				Lektorat	1	Tübingen	DE
https://romanistik.de/aktuelles/1392	1	2016-04-01	2018-03-31	24	~24		E13	TV-L 13, 50%	8SWS / 50%	50	8	16	2015	26. November 2015	Medien-/Kulturwissenschaft, Sprachpraxis	0	0	1	0	1	0	2	Spanisch	0	1	0	0	0	0	0	0	0	0	1	spa	Lektorin/Lektor für Spanisch (50%)	1	0	0	0	0	0	0				Lektorat	1	Tübingen	DE
https://romanistik.de/aktuelles/1394	1	2016-04-01	2018-03-31	24	~24		E13	TV-L 13, 100%	16 SWS / 100%	100	16	16	2015	26. November 2015	Medien-/Kulturwissenschaft, Sprachpraxis	0	0	1	0	1	0	2	Spanisch	0	1	0	0	0	0	0	0	0	0	1	spa	Lektorin/Lektor für Spanisch (100% )	1	0	0	0	0	0	0				Lektorat	1	Tübingen	DE
https://romanistik.de/aktuelles/998	1	2015-10-01	2017-08-31	23	~24		E13	E 13 TV-L (50%)	9 SWS	50	9	18	2015	28. Mai 2015	Sprachwissenschaft	0	1	0	0	0	0	1	Spanisch	0	1	0	0	0	0	0	0	0	0	1	spa	Lektorat Spanisch (50%-Stelle)	1	0	0	0	0	0	0				Lektorat	1	Bayreuth	DE
https://romanistik.de/aktuelles/993	1	2015-09-01	2017-08-31	24	~24			TV-L	N/A	50	k.A.	N/A	2015	28. Mai 2015	Sprachpraxis	0	0	0	0	1	0	1	Französisch	1	0	0	0	0	0	0	0	0	0	1	frz	50%-Stelle Lektor/in Französisch (Muttersprachler) an der Hochschule Karlsruhe	1	0	0	0	0	0	0				Lektorat	1	Karlsruhe	DE
https://romanistik.de/aktuelles/2095	1	2017-04-01	2019-03-31	24	~24		E13	TV-L E 13	75%	75	12	16	2016	03. November 2016	Medien-/Kulturwissenschaft, Sprachpraxis	0	0	1	0	1	0	2	Spanisch	0	1	0	0	0	0	0	0	0	0	1	spa	Lektorin/Lektor für Spanisch (75%, TV-L E 13)	1	0	0	0	0	0	0				Lektorat	1	Tübingen	DE
https://romanistik.de/aktuelles/2104	1	2017-04-01	2020-09-30	42	~48		E13	13 TV-L	83/63% Stellenumfang	80	k.A.	N/A	2016	04. November 2016	Sprachpraxis	0	0	0	0	1	0	1	Spanisch	0	1	0	0	0	0	0	0	0	0	1	spa	Fremdsprachenlektorin/-lektor für Spanisch	1	0	0	0	0	0	0				Lektorat	1	Konstanz	DE
https://romanistik.de/aktuelles/1474	1	2016-04-01	N/A	120	unb.	unbefristet	E13	Entgeltgruppe 13 TV-L	18SWS	100	18	18	2016	05. Januar 2016	Medien-/Kulturwissenschaft, Sprachpraxis	0	0	1	0	1	0	2	Französisch	1	0	0	0	0	0	0	0	0	0	1	frz	Lektorin/Lektor für Französisch (Entgeltgruppe 13 TV-L, 100%)	1	0	0	0	0	0	0				Lektorat	1	Osnabrück	DE
https://romanistik.de/aktuelles/1849	1	2016-10-01	2018-09-30	24	~24		E13	EG 13 TV-L	100% / 16 SWS	100	16	16	2016	08. Juli 2016	Sprachpraxis	0	0	0	0	1	0	1	Spanisch	0	1	0	0	0	0	0	0	0	0	1	spa	LektorIn für Spanisch / Wissenschaftliche/r Mitarbeiter/in mit Dienstleistungen überwiegend in der Lehre  	1	0	0	0	1	0	0				Lektorat	2	Rostock	DE
https://romanistik.de/aktuelles/2114	1	2017-03-16	2019-03-15	25	~24		E13	Entgeltgruppe 13 TV-L.	Umfang der regelmäßigen Arbeitszeit 	100	18	18	2016	10. November 2016	Sprachpraxis, Landeskunde	0	0	0	0	1	0	1	Französisch	1	0	0	0	0	0	0	0	0	0	1	frz	Lektor/in für Französisch	1	0	0	0	0	0	0				Lektorat	1	Augsburg	DE
https://romanistik.de/aktuelles/1962	1	2016-10-01	N/A	36	~36		E14	E14 TV-L	50%	50	8	16	2016	14. September 2016	Medien-/Kulturwissenschaft	0	0	1	0	0	0	1	Französisch, Spanisch	1	1	0	0	0	0	0	0	0	0	2	mult	Universitätslektor_in Romanische Landeswissenschaften (Französisch/Spanisch)	1	0	0	0	0	0	0				Lektorat	1	Bremen	DE
https://romanistik.de/aktuelles/1612.html	0	N/A	N/A	N/A	other			N/A	N/A	N/A	N/A	N/A	2016	17. März 2016	Medien-/Kulturwissenschaft, Sprachpraxis	0	0	1	0	1	0	2	Sprachübergreifend	0	0	0	0	0	0	0	0	0	1	1	mult	DAAD-Lektorinnen und -Lektoren	1	0	0	0	0	0	0				Lektorat	1	Brasilien, Chile, Frankreich, Mexiko, Tunesien u.a.	FR
https://romanistik.de/aktuelles/1673	1	2016-10-01	2018-09-30	24	~24		E13	TV-L E 13	50% / 9 SWS	50	9	18	2016	21. April 2016	Sprachpraxis	0	0	0	0	1	0	1	Französisch	1	0	0	0	0	0	0	0	0	0	1	frz	Lektorin/Lektor für Wirtschaftsfranzösisch	1	0	0	0	0	0	0				Lektorat	1	Augsburg	DE
